,Callsign,Tag,Number,IATA,ICAO
402,Frontier Airlines,F9 / FFT,63 ,F9 , FFT
403,Fuji Dream Airlines,JH / FDA,11 ,JH , FDA
404,Fuzhou Airlines,FU / FZA,9 ,FU , FZA
405,Gama Aviation,GMA,26 ,,GMA
406,Gamma Charters,GAJ,35 ,,GAJ
407,Garuda Indonesia,GA / GIA,152 ,GA , GIA
408,Gazpromavia,4G / GZP,43 ,4G , GZP
409,Georgian Airways,A9 / TGZ,5 ,A9 , TGZ
410,Germania,ST / GMI,22 ,ST , GMI
411,Germania Flug,GM / GSW,3 ,GM , GSW
412,Germanwings,4U / GWI,62 ,4U , GWI
413,Global Jet Luxembourg,SVW,36 ,,SVW
414,Globus,GH / GLP,1 ,GH , GLP
415,Go Air,G8 / GOW,21 ,G8 , GOW
416,Go2Sky,6G / RLX,3 ,6G , RLX
417,GoJet,G7 / GJS,53 ,G7 , GJS
418,GOL Transportes Aeros,G3 / GLO,134 ,G3 , GLO
419,Golden Myanmar Airlines,Y5 / GMR,3 ,Y5 , GMR
420,Grand China Air,CN / GDC,3 ,CN , GDC
421,Great Lakes Aviation,ZK / GLA,33 ,ZK , GLA
422,Grozny Avia,ZG / GOZ,10 ,ZG , GOZ
423,GTA Air,GTX,2 ,,GTX
424,Gulf Air,GF / GFA,29 ,GF , GFA
425,Gulf and Caribbean Cargo,TSU,7 ,,TSU
426,GX Airlines,GX / CBG,10 ,GX , CBG
427,Hahn Air,HR / HHN,3 ,HR , HHN
428,Hainan Airlines,HU / CHH,166 ,HU , CHH
429,Hangar 8,HGR,21 ,,HGR
430,Hawaiian Airlines,HA / HAL,49 ,HA , HAL
431,Hebei Airlines,NS / HBH,17 ,NS , HBH
432,Helijet International,JB / JBA,15 ,JB , JBA
433,Helvetic Airways,2L / OAW,13 ,2L , OAW
434,Hex Air,UD / HER,2 ,UD , HER
435,Hi Fly,5K / HFY,7 ,5K , HFY
436,Himalaya Airlines,H9 / HIM,1 ,H9 , HIM
437,Hinterland Aviation,OI / HND,13 ,OI , HND
438,Hokkaido Air System,NTH,3 ,,NTH
439,Hong Kong Airlines,HX / CRK,32 ,HX , CRK
440,Hong Kong Express,UO / HKE,15 ,UO , HKE
441,HOP!,A5 / HOP,93 ,A5 , HOP
442,Horizon Air,QX / QXE,52 ,QX , QXE
443,Hunnu Air,MR / MML,5 ,MR , MML
444,Hydro-Quebec,0Q / HYD,3 ,0Q , HYD
445,I-Fly,H5 / RSY,5 ,H5 , RSY
446,IBC Airways,II / CSQ,6 ,II , CSQ
447,Iberia,IB / IBE,79 ,IB , IBE
448,Iberia Express,I2 / IBS,21 ,I2 , IBS
449,Ibex Airlines,FW / IBX,10 ,FW , IBX
450,Icelandair,FI / ICE,30 ,FI , ICE
451,IFL Group,IFL,2 ,,IFL
452,Ikar,IK / KAR,8 ,IK , KAR
453,INAER,UV / INR,38 ,UV , INR
454,IndiGo Airlines,6E / IGO,112 ,6E , IGO
455,Indonesia AirAsia,QZ / AWQ,25 ,QZ , AWQ
456,Indonesia AirAsia X,XT / IDX,2 ,XT , IDX
457,Insel Air,7I / INC,6 ,7I , INC
458,Insel Air Aruba,8I / NLU,9 ,8I , NLU
459,Inter Airlines,6K / INX,3 ,6K , INX
460,Interair South Africa,D6 / ILN,2 ,D6 , ILN
461,InterCaribbean Airways,JY / IWY,4 ,JY , IWY
